iter	Passed	Remaining
909	1449	143
910	1451	141
911	1452	140
912	1453	138
913	1454	136
914	1455	135
915	1456	133
916	1457	131
917	1458	130
918	1460	128
919	1461	127
920	1462	125
921	1463	123
922	1465	122
923	1466	120
924	1467	118
925	1468	117
926	1469	115
927	1471	114
928	1472	112
929	1473	110
930	1474	109
931	1475	107
932	1476	106
933	1477	104
934	1479	102
935	1480	101
936	1481	99
937	1483	98
938	1484	96
939	1485	94
940	1486	93
941	1487	91
942	1488	89
943	1489	88
944	1490	86
945	1492	85
946	1493	83
947	1494	81
948	1495	80
949	1496	78
950	1498	77
951	1499	75
952	1500	73
953	1501	72
954	1502	70
955	1503	69
956	1505	67
957	1506	66
958	1507	64
959	1508	62
960	1510	61
961	1511	59
962	1512	58
963	1513	56
964	1514	54
965	1515	53
966	1517	51
967	1518	50
968	1519	48
969	1520	47
970	1521	45
971	1522	43
972	1524	42
973	1525	40
974	1527	39
975	1528	37
976	1529	36
977	1530	34
978	1531	32
979	1533	31
980	1534	29
981	1535	28
982	1536	26
983	1537	25
984	1539	23
985	1540	21
986	1541	20
987	1542	18
988	1546	17
989	1547	15
990	1548	14
991	1549	12
992	1550	10
993	1552	9
994	1553	7
995	1554	6
996	1556	4
997	1557	3
998	1558	1
999	1559	0
